pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid	abangle	annotation_H	annotation_L	imgt_H	imgt_L	sequence_raw	sequence_H	sequence_L	structure	structure_chothia	in_nr_set	curated_quality_dataset	split	date_parsed	has_light_chain
8ykt	H	L	0	A	protein		enterotoxin type b	PROTEIN BINDING/IMMUNE SYSTEM	03/12/25	Fab and SEB complex	Homo sapiens; Staphylococcus aureus	homo sapiens	homo sapiens	staphylococcus aureus	Zeng, H., Fan, H.Y.	2.04	X-RAY DIFFRACTION	0.23	0.195	False	True	IGHV3	IGLV1	Lambda						sabdab_dataset/8ykt/abangle/8ykt.abangle	sabdab_dataset/8ykt/annotation/8ykt_H_VH.ann	sabdab_dataset/8ykt/annotation/8ykt_L_VL.ann	sabdab_dataset/8ykt/imgt/8ykt_H_H.ann	sabdab_dataset/8ykt/imgt/8ykt_L_L.ann	sabdab_dataset/8ykt/sequence/8ykt_raw.pdb	sabdab_dataset/8ykt/sequence/8ykt_H_VH.fa	sabdab_dataset/8ykt/sequence/8ykt_L_VL.fa	sabdab_dataset/8ykt/structure/8ykt.pdb	sabdab_dataset/8ykt/structure/chothia/8ykt.pdb	True	False	train	2025-03-12	True
8ysh	A		0	B	protein		spike glycoprotein	VIRAL PROTEIN	09/11/24	MERS-CoV RBD in complex with nanobody Nb14	Middle East respiratory syndrome-related coronavirus; Vicugna pacos	vicugna pacos		middle east respiratory syndrome-relatedcoronavirus 	Wang, Y.X., Ma, S.	1.99	X-RAY DIFFRACTION	0.239	0.229	False	True	IGHV1									sabdab_dataset/8ysh/annotation/8ysh_A_VH.ann		sabdab_dataset/8ysh/imgt/8ysh_A_H.ann		sabdab_dataset/8ysh/sequence/8ysh_raw.pdb	sabdab_dataset/8ysh/sequence/8ysh_A_VH.fa		sabdab_dataset/8ysh/structure/8ysh.pdb	sabdab_dataset/8ysh/structure/chothia/8ysh.pdb	True	True	train	2024-09-11	False
8yub	A	B	0	F	protein		spike protein s2'	IMMUNE SYSTEM	10/01/25	Crystal structure of SARS-CoV-2 ConSp RBD in complex with neutralizing antibody CC25.4 Fab	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Kang, J.M., Yuan, M., Han, B.W., Wilson, I.A.	2.49	X-RAY DIFFRACTION	0.255	0.205	False	True	IGHV1	IGLV1	Lambda						sabdab_dataset/8yub/abangle/8yub.abangle	sabdab_dataset/8yub/annotation/8yub_A_VH.ann	sabdab_dataset/8yub/annotation/8yub_B_VL.ann	sabdab_dataset/8yub/imgt/8yub_A_H.ann	sabdab_dataset/8yub/imgt/8yub_B_L.ann	sabdab_dataset/8yub/sequence/8yub_raw.pdb	sabdab_dataset/8yub/sequence/8yub_A_VH.fa	sabdab_dataset/8yub/sequence/8yub_B_VL.fa	sabdab_dataset/8yub/structure/8yub.pdb	sabdab_dataset/8yub/structure/chothia/8yub.pdb	True	False	train	2025-10-01	True
8yvj	A		0	B	protein		toxin a	TOXIN/IMMUNE SYSTEM	12/18/24	Crystal structure of the C. difficile toxin A CROPs domain fragment 2592-2710 bound to H5.2 nanobody	Camelus dromedarius; Clostridioides difficile 342	camelus dromedarius		clostridioides difficile 342	Sluchanko, N.N., Varfolomeeva, L.A., Shcheblyakov, D.V., Belyi, Y.F., Logunov, D.Y., Gintsburg, A.L., Popov, V.O., Boyko, K.M.	1.65	X-RAY DIFFRACTION	0.198	0.149	False	True	IGHV1									sabdab_dataset/8yvj/annotation/8yvj_A_VH.ann		sabdab_dataset/8yvj/imgt/8yvj_A_H.ann		sabdab_dataset/8yvj/sequence/8yvj_raw.pdb	sabdab_dataset/8yvj/sequence/8yvj_A_VH.fa		sabdab_dataset/8yvj/structure/8yvj.pdb	sabdab_dataset/8yvj/structure/chothia/8yvj.pdb	True	True	train	2024-12-18	False
8yvo	A		0	C	protein		toxin a	TOXIN/IMMUNE SYSTEM	12/18/24	Crystal structure of the C. difficile toxin A CROPs domain fragment 2639-2707 bound to C4.2 nanobody	Camelus dromedarius; Clostridioides difficile	camelus dromedarius		clostridioides difficile	Sluchanko, N.N., Varfolomeeva, L.A., Shcheblyakov, D.V., Belyi, Y.F., Logunov, D.Y., Gintsburg, A.L., Popov, V.O., Boyko, K.M.	2.1	X-RAY DIFFRACTION	0.238	0.21	False	True	IGHV1									sabdab_dataset/8yvo/annotation/8yvo_A_VH.ann		sabdab_dataset/8yvo/imgt/8yvo_A_H.ann		sabdab_dataset/8yvo/sequence/8yvo_raw.pdb	sabdab_dataset/8yvo/sequence/8yvo_A_VH.fa		sabdab_dataset/8yvo/structure/8yvo.pdb	sabdab_dataset/8yvo/structure/chothia/8yvo.pdb	True	True	train	2024-12-18	False
8yxi	C	B	0	A	protein		envelopment polyprotein	VIRAL PROTEIN/IMMUNE SYSTEM	09/11/24	Crystal structure of SFTSV Gn in complex with a neutralizing antibody 40C10	Mus musculus; Severe fever with thrombocytopenia syndrome virus	mus musculus	mus musculus	severe fever with thrombocytopenia syndromevirus 	Yang, P., Guo, Y., Zhang, N.	2.4	X-RAY DIFFRACTION	0.249	0.206	False	False	IGHV1	IGKV6	Kappa						sabdab_dataset/8yxi/abangle/8yxi.abangle	sabdab_dataset/8yxi/annotation/8yxi_C_VH.ann	sabdab_dataset/8yxi/annotation/8yxi_B_VL.ann	sabdab_dataset/8yxi/imgt/8yxi_C_H.ann	sabdab_dataset/8yxi/imgt/8yxi_B_L.ann	sabdab_dataset/8yxi/sequence/8yxi_raw.pdb	sabdab_dataset/8yxi/sequence/8yxi_C_VH.fa	sabdab_dataset/8yxi/sequence/8yxi_B_VL.fa	sabdab_dataset/8yxi/structure/8yxi.pdb	sabdab_dataset/8yxi/structure/chothia/8yxi.pdb	True	False	test	2024-09-11	True
8yyz	H	L	0	A	protein		sonic hedgehog protein n-product	IMMUNE SYSTEM	04/09/25	Crystal structure of Sonic hedgehog in complex with antibody 5E1 mutant H-R102A in the absence of metals	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Caaveiro, J.M.M., Senoo, A., Kaneda, I., Tsumoto, K.	1.9	X-RAY DIFFRACTION	0.222	0.184	False	True	IGHV1	IGKV6	Kappa						sabdab_dataset/8yyz/abangle/8yyz.abangle	sabdab_dataset/8yyz/annotation/8yyz_H_VH.ann	sabdab_dataset/8yyz/annotation/8yyz_L_VL.ann	sabdab_dataset/8yyz/imgt/8yyz_H_H.ann	sabdab_dataset/8yyz/imgt/8yyz_L_L.ann	sabdab_dataset/8yyz/sequence/8yyz_raw.pdb	sabdab_dataset/8yyz/sequence/8yyz_H_VH.fa	sabdab_dataset/8yyz/sequence/8yyz_L_VL.fa	sabdab_dataset/8yyz/structure/8yyz.pdb	sabdab_dataset/8yyz/structure/chothia/8yyz.pdb	False	False	train	2025-04-09	True
8z2e	B		0	E	protein		spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	04/23/25	Crystal structure of nanobody Tnb04-1 with antibody 1F11 fab and SARS-CoV-2 RBD	Homo sapiens; Severe acute respiratory syndrome coronavirus 2; Vicugna pacos	vicugna pacos		severe acute respiratory syndrome coronavirus2 	Wang, X.Q., Zhang, L.Q., Chen, J., Dong, H.D.	2.3	X-RAY DIFFRACTION	0.234	0.195	False	True	IGHV1								sabdab_dataset/8z2e/abangle/8z2e.abangle	sabdab_dataset/8z2e/annotation/8z2e_B_VH.ann		sabdab_dataset/8z2e/imgt/8z2e_B_H.ann		sabdab_dataset/8z2e/sequence/8z2e_raw.pdb	sabdab_dataset/8z2e/sequence/8z2e_B_VH.fa		sabdab_dataset/8z2e/structure/8z2e.pdb	sabdab_dataset/8z2e/structure/chothia/8z2e.pdb	True	False	test	2025-04-23	False
8z2v	H	L	0	A	protein		sonic hedgehog protein n-product	IMMUNE SYSTEM	04/16/25	Crystal structure of Sonic hedgehog in complex with antibody 5E1 mutant H-R102A with metals	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Caaveiro, J.M.M., Kaneda, I., Tsumoto, K.	1.89	X-RAY DIFFRACTION	0.225	0.186	False	True	IGHV1	IGKV6	Kappa						sabdab_dataset/8z2v/abangle/8z2v.abangle	sabdab_dataset/8z2v/annotation/8z2v_H_VH.ann	sabdab_dataset/8z2v/annotation/8z2v_L_VL.ann	sabdab_dataset/8z2v/imgt/8z2v_H_H.ann	sabdab_dataset/8z2v/imgt/8z2v_L_L.ann	sabdab_dataset/8z2v/sequence/8z2v_raw.pdb	sabdab_dataset/8z2v/sequence/8z2v_H_VH.fa	sabdab_dataset/8z2v/sequence/8z2v_L_VL.fa	sabdab_dataset/8z2v/structure/8z2v.pdb	sabdab_dataset/8z2v/structure/chothia/8z2v.pdb	True	False	train	2025-04-16	True
8z39	H	L	0	A	protein		sonic hedgehog protein n-product	IMMUNE SYSTEM	04/16/25	Crystal structure of Sonic hedgehog in complex with antibody 5E1 mutant L-T56A with metals	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Caaveiro, J.M.M., Kaneda, I., Tsumoto, K.	1.8	X-RAY DIFFRACTION	0.208	0.18	False	True	IGHV1	IGKV6	Kappa						sabdab_dataset/8z39/abangle/8z39.abangle	sabdab_dataset/8z39/annotation/8z39_H_VH.ann	sabdab_dataset/8z39/annotation/8z39_L_VL.ann	sabdab_dataset/8z39/imgt/8z39_H_H.ann	sabdab_dataset/8z39/imgt/8z39_L_L.ann	sabdab_dataset/8z39/sequence/8z39_raw.pdb	sabdab_dataset/8z39/sequence/8z39_H_VH.fa	sabdab_dataset/8z39/sequence/8z39_L_VL.fa	sabdab_dataset/8z39/structure/8z39.pdb	sabdab_dataset/8z39/structure/chothia/8z39.pdb	False	False	train	2025-04-16	True
8z3a	H	L	0	A	protein		sonic hedgehog protein n-product	IMMUNE SYSTEM	04/16/25	Crystal structure of Sonic hedgehog in complex with antibody 5E1 without metals	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Caaveiro, J.M.M., Kaneda, I., Tsumoto, K.	1.75	X-RAY DIFFRACTION	0.207	0.175	False	True	IGHV1	IGKV6	Kappa						sabdab_dataset/8z3a/abangle/8z3a.abangle	sabdab_dataset/8z3a/annotation/8z3a_H_VH.ann	sabdab_dataset/8z3a/annotation/8z3a_L_VL.ann	sabdab_dataset/8z3a/imgt/8z3a_H_H.ann	sabdab_dataset/8z3a/imgt/8z3a_L_L.ann	sabdab_dataset/8z3a/sequence/8z3a_raw.pdb	sabdab_dataset/8z3a/sequence/8z3a_H_VH.fa	sabdab_dataset/8z3a/sequence/8z3a_L_VL.fa	sabdab_dataset/8z3a/structure/8z3a.pdb	sabdab_dataset/8z3a/structure/chothia/8z3a.pdb	False	False	train	2025-04-16	True
8z8v	B		0	A	protein		serum albumin	TRANSPORT PROTEIN	09/04/24	Crystal structure of human serum albumin in complex with ALB8(VHH) domain of ozoralizumab	Homo sapiens	homo sapiens		homo sapiens	Mima, M., Mishima-Tsumagari, C.	2.05	X-RAY DIFFRACTION	0.239	0.202	False	True	IGHV3									sabdab_dataset/8z8v/annotation/8z8v_B_VH.ann		sabdab_dataset/8z8v/imgt/8z8v_B_H.ann		sabdab_dataset/8z8v/sequence/8z8v_raw.pdb	sabdab_dataset/8z8v/sequence/8z8v_B_VH.fa		sabdab_dataset/8z8v/structure/8z8v.pdb	sabdab_dataset/8z8v/structure/chothia/8z8v.pdb	True	True	train	2024-09-04	False
8zca	C	B	0	E	protein		leukocyte surface antigen cd47	IMMUNE SYSTEM	05/07/25	Crystal structure of human CD47 ECD bound to Fab of Hu1C8	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Chen, Z., Ding, J.	2.5	X-RAY DIFFRACTION	0.266	0.215	False	True	IGHV3	IGKV1	Kappa						sabdab_dataset/8zca/abangle/8zca.abangle	sabdab_dataset/8zca/annotation/8zca_C_VH.ann	sabdab_dataset/8zca/annotation/8zca_B_VL.ann	sabdab_dataset/8zca/imgt/8zca_C_H.ann	sabdab_dataset/8zca/imgt/8zca_B_L.ann	sabdab_dataset/8zca/sequence/8zca_raw.pdb	sabdab_dataset/8zca/sequence/8zca_C_VH.fa	sabdab_dataset/8zca/sequence/8zca_B_VL.fa	sabdab_dataset/8zca/structure/8zca.pdb	sabdab_dataset/8zca/structure/chothia/8zca.pdb	True	False	train	2025-05-07	True
8zu9	B	A	0	E	protein		entry-fusion complex associated protein opg095	ANTIVIRAL PROTEIN/IMMUNE SYSTEM	04/02/25	The complex structure of MPXV M1R and neutralizing antibody A129	Homo sapiens; Monkeypox virus	homo sapiens	homo sapiens	monkeypox virus	Ge, J.W.	2.17	X-RAY DIFFRACTION	0.262	0.211	False	True	IGHV3	IGKV1	Kappa						sabdab_dataset/8zu9/abangle/8zu9.abangle	sabdab_dataset/8zu9/annotation/8zu9_B_VH.ann	sabdab_dataset/8zu9/annotation/8zu9_A_VL.ann	sabdab_dataset/8zu9/imgt/8zu9_B_H.ann	sabdab_dataset/8zu9/imgt/8zu9_A_L.ann	sabdab_dataset/8zu9/sequence/8zu9_raw.pdb	sabdab_dataset/8zu9/sequence/8zu9_B_VH.fa	sabdab_dataset/8zu9/sequence/8zu9_A_VL.fa	sabdab_dataset/8zu9/structure/8zu9.pdb	sabdab_dataset/8zu9/structure/chothia/8zu9.pdb	True	False	train	2025-04-02	True
9atm	H	L	0	R	protein		sars-cov-2 eg.5 rbd	VIRAL PROTEIN	10/16/24	SARS-CoV-2 EG.5 RBD bound to the VIR-7229 and the S2H97 Fab fragments	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Rietz, T., Park, Y.J., Errico, J., Czudnochowski, N., Nix, J.C., Corti, D., Snell, G., Marco, A.D., Pinto, D., Cameroni, E., Seattle Structural Genomics Center for Infectious Disease (SSGCID), Veesler, D.	1.9	X-RAY DIFFRACTION	0.227	0.194	False	True	IGHV3	IGLV2	Lambda						sabdab_dataset/9atm/abangle/9atm.abangle	sabdab_dataset/9atm/annotation/9atm_H_VH.ann	sabdab_dataset/9atm/annotation/9atm_L_VL.ann	sabdab_dataset/9atm/imgt/9atm_H_H.ann	sabdab_dataset/9atm/imgt/9atm_L_L.ann	sabdab_dataset/9atm/sequence/9atm_raw.pdb	sabdab_dataset/9atm/sequence/9atm_H_VH.fa	sabdab_dataset/9atm/sequence/9atm_L_VL.fa	sabdab_dataset/9atm/structure/9atm.pdb	sabdab_dataset/9atm/structure/chothia/9atm.pdb	False	False	validation	2024-10-16	True
9au1	H	L	0	R	protein		sars-cov-2 xbb.1.5 rbd	VIRAL PROTEIN	10/16/24	SARS-CoV-2 XBB.1.5 RBD bound to the VIR-7229 and the S309 Fab fragments	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Rietz, T., Park, Y.J., Errico, J., Czudnochowski, N., Nix, J.C., Corti, D., Snell, G., Marco, A.D., Pinto, D., Cameroni, E., Seattle Structural Genomics Center for Infectious Disease (SSGCID), Veesler, D., Structural Genomics Consortium (SGC)	2.41	X-RAY DIFFRACTION	0.257	0.227	False	True	IGHV3	IGLV2	Lambda						sabdab_dataset/9au1/abangle/9au1.abangle	sabdab_dataset/9au1/annotation/9au1_H_VH.ann	sabdab_dataset/9au1/annotation/9au1_L_VL.ann	sabdab_dataset/9au1/imgt/9au1_H_H.ann	sabdab_dataset/9au1/imgt/9au1_L_L.ann	sabdab_dataset/9au1/sequence/9au1_raw.pdb	sabdab_dataset/9au1/sequence/9au1_H_VH.fa	sabdab_dataset/9au1/sequence/9au1_L_VL.fa	sabdab_dataset/9au1/structure/9au1.pdb	sabdab_dataset/9au1/structure/chothia/9au1.pdb	True	False	train	2024-10-16	True
9azr	H	L	0	E	protein		hemagglutinin ha1 chain	VIRAL PROTEIN/IMMUNE SYSTEM	03/12/25	Lineage 860 UCA Fab bound to A/Massachusetts/1/1990 hemagglutinin head	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Maurer, D.P., Schmidt, A.G.	2.3	X-RAY DIFFRACTION	0.27	0.229	False	True	IGHV1	IGLV3	Lambda						sabdab_dataset/9azr/abangle/9azr.abangle	sabdab_dataset/9azr/annotation/9azr_H_VH.ann	sabdab_dataset/9azr/annotation/9azr_L_VL.ann	sabdab_dataset/9azr/imgt/9azr_H_H.ann	sabdab_dataset/9azr/imgt/9azr_L_L.ann	sabdab_dataset/9azr/sequence/9azr_raw.pdb	sabdab_dataset/9azr/sequence/9azr_H_VH.fa	sabdab_dataset/9azr/sequence/9azr_L_VL.fa	sabdab_dataset/9azr/structure/9azr.pdb	sabdab_dataset/9azr/structure/chothia/9azr.pdb	False	False	train	2025-03-12	True
9bdi	C	D	0	B	protein		gt10.2 glycan ko	VIRAL PROTEIN	02/19/25	Crystal structure of HIV-1 MPER scaffold in complex with antibody Fab Ab45.2	Mus musculus	mus musculus	mus musculus	mus musculus	Lee, C.C.D., Wilson, I.A.	2.07	X-RAY DIFFRACTION	0.283	0.235	False	True	IGHV3	IGKV12	Kappa						sabdab_dataset/9bdi/abangle/9bdi.abangle	sabdab_dataset/9bdi/annotation/9bdi_C_VH.ann	sabdab_dataset/9bdi/annotation/9bdi_D_VL.ann	sabdab_dataset/9bdi/imgt/9bdi_C_H.ann	sabdab_dataset/9bdi/imgt/9bdi_D_L.ann	sabdab_dataset/9bdi/sequence/9bdi_raw.pdb	sabdab_dataset/9bdi/sequence/9bdi_C_VH.fa	sabdab_dataset/9bdi/sequence/9bdi_D_VL.fa	sabdab_dataset/9bdi/structure/9bdi.pdb	sabdab_dataset/9bdi/structure/chothia/9bdi.pdb	True	False	train	2025-02-19	True
9bt5	C	D	0	A	protein		hemagglutinin	IMMUNE SYSTEM	06/25/25	The crystal structure of the HA1 domain of hemagglutinin from A/Shanghai/02/2013 (H7N9) bound to H7-235 Fab	Homo sapiens; Influenza A virus (A/Shanghai/02/2013(H7N9))	homo sapiens	homo sapiens	influenza a virus (a/shanghai/02/2013(h7n9))	Buchman, C.D., Dong, J., Crowe, J.E.	2.5	X-RAY DIFFRACTION	0.251	0.195	False	True	IGHV3	IGKV2	Kappa						sabdab_dataset/9bt5/abangle/9bt5.abangle	sabdab_dataset/9bt5/annotation/9bt5_C_VH.ann	sabdab_dataset/9bt5/annotation/9bt5_D_VL.ann	sabdab_dataset/9bt5/imgt/9bt5_C_H.ann	sabdab_dataset/9bt5/imgt/9bt5_D_L.ann	sabdab_dataset/9bt5/sequence/9bt5_raw.pdb	sabdab_dataset/9bt5/sequence/9bt5_C_VH.fa	sabdab_dataset/9bt5/sequence/9bt5_D_VL.fa	sabdab_dataset/9bt5/structure/9bt5.pdb	sabdab_dataset/9bt5/structure/chothia/9bt5.pdb	True	False	train	2025-06-25	True
9cds	B	A	0	C	protein		outer surface protein a	IMMUNE SYSTEM	09/24/25	Crystal structure of OspA ST1 from B. burgdorferi bound to monoclonal antibody LA-2	Borreliella burgdorferi B31; Mus musculus	mus musculus	mus musculus	borreliella burgdorferi b31	Laciak, A.R., Lai, Y.-T., Dhingra, Y.	1.85	X-RAY DIFFRACTION	0.233	0.202	False	True	IGHV9	IGKV19	Kappa						sabdab_dataset/9cds/abangle/9cds.abangle	sabdab_dataset/9cds/annotation/9cds_B_VH.ann	sabdab_dataset/9cds/annotation/9cds_A_VL.ann	sabdab_dataset/9cds/imgt/9cds_B_H.ann	sabdab_dataset/9cds/imgt/9cds_A_L.ann	sabdab_dataset/9cds/sequence/9cds_raw.pdb	sabdab_dataset/9cds/sequence/9cds_B_VH.fa	sabdab_dataset/9cds/sequence/9cds_A_VL.fa	sabdab_dataset/9cds/structure/9cds.pdb	sabdab_dataset/9cds/structure/chothia/9cds.pdb	True	False	train	2025-09-24	True
9d41	H	L	0	A	protein		borealin	IMMUNE SYSTEM	08/20/25	Crystal structure of N-terminal domain of Borealin (20-88) in complex with synthetic antibody fragment	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Filippova, E.V., Hou, J., Mukherjee, S., Kossiakoff, A.A.	1.84	X-RAY DIFFRACTION	0.197	0.155	False	True	IGHV3	IGKV1	Kappa						sabdab_dataset/9d41/abangle/9d41.abangle	sabdab_dataset/9d41/annotation/9d41_H_VH.ann	sabdab_dataset/9d41/annotation/9d41_L_VL.ann	sabdab_dataset/9d41/imgt/9d41_H_H.ann	sabdab_dataset/9d41/imgt/9d41_L_L.ann	sabdab_dataset/9d41/sequence/9d41_raw.pdb	sabdab_dataset/9d41/sequence/9d41_H_VH.fa	sabdab_dataset/9d41/sequence/9d41_L_VL.fa	sabdab_dataset/9d41/structure/9d41.pdb	sabdab_dataset/9d41/structure/chothia/9d41.pdb	False	False	train	2025-08-20	True
9dbo	H	L	0	C	protein		serine/threonine-protein kinase mtor	Transferase/Immune System	06/11/25	Crystal structure of a synthetic Fab (R3E9) in complex with the FRB domain of mTOR	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	O'Leary, K.M., Slezak, T., Kossiakoff, A.A.	1.55	X-RAY DIFFRACTION	0.217	0.184	False	True	IGHV3	IGKV1	Kappa						sabdab_dataset/9dbo/abangle/9dbo.abangle	sabdab_dataset/9dbo/annotation/9dbo_H_VH.ann	sabdab_dataset/9dbo/annotation/9dbo_L_VL.ann	sabdab_dataset/9dbo/imgt/9dbo_H_H.ann	sabdab_dataset/9dbo/imgt/9dbo_L_L.ann	sabdab_dataset/9dbo/sequence/9dbo_raw.pdb	sabdab_dataset/9dbo/sequence/9dbo_H_VH.fa	sabdab_dataset/9dbo/sequence/9dbo_L_VL.fa	sabdab_dataset/9dbo/structure/9dbo.pdb	sabdab_dataset/9dbo/structure/chothia/9dbo.pdb	False	False	train	2025-06-11	True
9dl0	A	Y	0	G	protein		serine/threonine-protein kinase mtor	IMMUNE SYSTEM/Transferase	06/11/25	Crystal structure of a synthetic Fab (R3H8) in complex with the FRB domain of mTOR	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	O'Leary, K.M., Slezak, T., Kossiakoff, A.A.	2.0	X-RAY DIFFRACTION	0.234	0.205	False	True	IGHV3	IGKV1	Kappa						sabdab_dataset/9dl0/abangle/9dl0.abangle	sabdab_dataset/9dl0/annotation/9dl0_A_VH.ann	sabdab_dataset/9dl0/annotation/9dl0_Y_VL.ann	sabdab_dataset/9dl0/imgt/9dl0_A_H.ann	sabdab_dataset/9dl0/imgt/9dl0_Y_L.ann	sabdab_dataset/9dl0/sequence/9dl0_raw.pdb	sabdab_dataset/9dl0/sequence/9dl0_A_VH.fa	sabdab_dataset/9dl0/sequence/9dl0_Y_VL.fa	sabdab_dataset/9dl0/structure/9dl0.pdb	sabdab_dataset/9dl0/structure/chothia/9dl0.pdb	False	False	train	2025-06-11	True
9dq3	H	L	0	C	protein		cytotoxic t-lymphocyte protein 4	ANTITUMOR PROTEIN/IMMUNE SYSTEM	02/05/25	Crystal structure of engineered Ipilimumab (mipi.4) Fab in complex with human CTLA-4	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Diong, S.J., Lee, P.S.	1.64	X-RAY DIFFRACTION	0.268	0.232	False	True	IGHV3	IGKV3	Kappa						sabdab_dataset/9dq3/abangle/9dq3.abangle	sabdab_dataset/9dq3/annotation/9dq3_H_VH.ann	sabdab_dataset/9dq3/annotation/9dq3_L_VL.ann	sabdab_dataset/9dq3/imgt/9dq3_H_H.ann	sabdab_dataset/9dq3/imgt/9dq3_L_L.ann	sabdab_dataset/9dq3/sequence/9dq3_raw.pdb	sabdab_dataset/9dq3/sequence/9dq3_H_VH.fa	sabdab_dataset/9dq3/sequence/9dq3_L_VL.fa	sabdab_dataset/9dq3/structure/9dq3.pdb	sabdab_dataset/9dq3/structure/chothia/9dq3.pdb	True	False	train	2025-02-05	True
9dq4	H	L	0	A	protein		cytotoxic t-lymphocyte protein 4	ANTITUMOR PROTEIN/IMMUNE SYSTEM	02/05/25	Crystal structure of engineered Ipilimumab (mipi.4) Fab in complex with mouse CTLA-4	Homo sapiens; Mus musculus	homo sapiens	homo sapiens	mus musculus	Diong, S.J., Lee, P.S.	1.57	X-RAY DIFFRACTION	0.233	0.205	False	True	IGHV3	IGKV3	Kappa						sabdab_dataset/9dq4/abangle/9dq4.abangle	sabdab_dataset/9dq4/annotation/9dq4_H_VH.ann	sabdab_dataset/9dq4/annotation/9dq4_L_VL.ann	sabdab_dataset/9dq4/imgt/9dq4_H_H.ann	sabdab_dataset/9dq4/imgt/9dq4_L_L.ann	sabdab_dataset/9dq4/sequence/9dq4_raw.pdb	sabdab_dataset/9dq4/sequence/9dq4_H_VH.fa	sabdab_dataset/9dq4/sequence/9dq4_L_VL.fa	sabdab_dataset/9dq4/structure/9dq4.pdb	sabdab_dataset/9dq4/structure/chothia/9dq4.pdb	False	False	train	2025-02-05	True
9dx6	B	C	0	A	protein		apical merozoite protein 1	CELL INVASION	11/13/24	Crystal structure of Plasmodium vivax (Palo Alto) PvAMA1 in complex with human Fab 826827	Homo sapiens; Plasmodium vivax	homo sapiens	homo sapiens	plasmodium vivax	Dietrich, M.H., Tham, W.H., Jung, N.C.	2.4	X-RAY DIFFRACTION	0.235	0.192	False	True	IGHV4	IGKV3	Kappa						sabdab_dataset/9dx6/abangle/9dx6.abangle	sabdab_dataset/9dx6/annotation/9dx6_B_VH.ann	sabdab_dataset/9dx6/annotation/9dx6_C_VL.ann	sabdab_dataset/9dx6/imgt/9dx6_B_H.ann	sabdab_dataset/9dx6/imgt/9dx6_C_L.ann	sabdab_dataset/9dx6/sequence/9dx6_raw.pdb	sabdab_dataset/9dx6/sequence/9dx6_B_VH.fa	sabdab_dataset/9dx6/sequence/9dx6_C_VL.fa	sabdab_dataset/9dx6/structure/9dx6.pdb	sabdab_dataset/9dx6/structure/chothia/9dx6.pdb	True	False	train	2024-11-13	True
9e7n	C		0	A	protein		gametocyte surface protein p230	PROTEIN BINDING	07/30/25	Pfs230 D13D14 in complex with nanobody W2809	Plasmodium falciparum 3D7; Vicugna pacos	vicugna pacos		plasmodium falciparum 3d7	Tan, L.L., Dietrich, M.H., Tham, W.H.	2.49	X-RAY DIFFRACTION	0.264	0.224	False	True	IGHV1									sabdab_dataset/9e7n/annotation/9e7n_C_VH.ann		sabdab_dataset/9e7n/imgt/9e7n_C_H.ann		sabdab_dataset/9e7n/sequence/9e7n_raw.pdb	sabdab_dataset/9e7n/sequence/9e7n_C_VH.fa		sabdab_dataset/9e7n/structure/9e7n.pdb	sabdab_dataset/9e7n/structure/chothia/9e7n.pdb	True	True	train	2025-07-30	False
9e7o	A		0	B	protein		gametocyte surface protein p230	PROTEIN BINDING	07/30/25	Pfs230 D13D14 in complex with nanobody W2810	Plasmodium falciparum 3D7; Vicugna pacos	vicugna pacos		plasmodium falciparum 3d7	Dietrich, M.H., Tan, L.L., Tham, W.H.	1.93	X-RAY DIFFRACTION	0.254	0.214	False	True	IGHV1									sabdab_dataset/9e7o/annotation/9e7o_A_VH.ann		sabdab_dataset/9e7o/imgt/9e7o_A_H.ann		sabdab_dataset/9e7o/sequence/9e7o_raw.pdb	sabdab_dataset/9e7o/sequence/9e7o_A_VH.fa		sabdab_dataset/9e7o/structure/9e7o.pdb	sabdab_dataset/9e7o/structure/chothia/9e7o.pdb	True	True	train	2025-07-30	False
